Zahl,Hot/Cold Score,Cluster Score,KI Score,Monte Carlo Count
1,80.0,50.0,33.33,3636
2,60.0,100.0,66.67,5454
3,40.0,0.0,100.0,7272
4,20.0,50.0,0.0,9090
5,0.0,100.0,33.33,10909
6,20.0,0.0,66.67,12727
7,40.0,50.0,100.0,14545
8,60.0,100.0,0.0,16363
9,80.0,0.0,33.33,18181
10,100.0,50.0,66.67,1818
11,80.0,100.0,100.0,3636
12,60.0,0.0,0.0,5454
13,40.0,50.0,33.33,7272
14,20.0,100.0,66.67,9090
15,0.0,0.0,100.0,10909
16,20.0,50.0,0.0,12727
17,40.0,100.0,33.33,14545
18,60.0,0.0,66.67,16363
19,80.0,50.0,100.0,18181
20,100.0,100.0,0.0,1818
21,80.0,0.0,33.33,3636
22,60.0,50.0,66.67,5454
23,40.0,100.0,100.0,7272
24,20.0,0.0,0.0,9090
25,0.0,50.0,33.33,10909
26,20.0,100.0,66.67,12727
27,40.0,0.0,100.0,14545
28,60.0,50.0,0.0,16363
29,80.0,100.0,33.33,18181
30,100.0,0.0,66.67,1818
31,80.0,50.0,100.0,3636
32,60.0,100.0,0.0,5454
33,40.0,0.0,33.33,7272
34,20.0,50.0,66.67,9090
35,0.0,100.0,100.0,10909
36,20.0,0.0,0.0,12727
37,40.0,50.0,33.33,14545
38,60.0,100.0,66.67,16363
39,80.0,0.0,100.0,18181
40,100.0,50.0,0.0,1818
41,80.0,100.0,33.33,3636
42,60.0,0.0,66.67,5454
43,40.0,50.0,100.0,7272
44,20.0,100.0,0.0,9090
45,0.0,0.0,33.33,10909
46,20.0,50.0,66.67,12727
47,40.0,100.0,100.0,14545
48,60.0,0.0,0.0,16363
49,80.0,50.0,33.33,18181
50,100.0,100.0,66.67,1818
